obat_id,label,nilai,urutan
57,Product Description,"SGM EKSPLOR GAIN OPTIGROW\n\nFormula Bayi Bubuk Formula 100 kkal/100 ml untuk anak usia di atas 1 tahun dengan indikasi:\n- Anak berisiko gagal tumbuh\n- Gizi kurang\n- Gizi buruk\n\nHARUS DENGAN RESEP DOKTER\n\nProduk bukan untuk pemberian secara parental.\n\nPENTING BUNDA KETAHUI\nAir susu ibu adalah makanan terbaik untuk bayi Anda. Susu formula bayi bukan pengganti Air Susu Ibu (ASI). ASI Eksklusif diberikan sejak bayi lahir sampai usia 6 bulan dan dilanjutkan sampai dengan bayi berusia 2 (dua) tahun dengan pemberian makanan tambahan yang sesuai. Pemakaian SGM Eksplor Gain Optigrow atas nasehat dokter, bidan dan perawat independent berdasarkan indikasi medis.",1
57,Indikasi Umum,Susu pertumbuhan,2
57,Komposisi,"Susu bubuk, Maltodekstrin, Campuran minyak nabati (mengandung antioksidan askorbil palmitat), Sukrosa, Minyak trigliserida rantai sedang (MCT), Serat pangan, Mineral, Madu bubuk, Perisa (alami madu, sintetik vanila & alami), Premiks vitamin, Kolin klorida, Minyak ikan (sumber DHA) (mengandung antioksidan natrium askorbat, tokoferol campuran pekat, dan askrobil palmitat), L-Karnitin.

Mengandung alergen, lihat daftar bahan yang dicetak tebal.",3
57,Perhatian,"1. Tidak cocok untuk bayi usia di bawah 12 bulan.\n2. Siapkan larutan susu SGM Eksplor Gain Optigrow hanya untuk 1 kali pemberian. Jangan digunakan lagi untuk pemberian berikutnya bila masih tersisa.\n3. Tidak cocok untuk bayi atau anak yang tidak mengalami risiko gagal tumbuh, gizi kurang, atau gizi buruk.",4
57,Kemasan,1 Pcs,5
57,No. Registrasi,MD 862411027116,6
58,Product Description,"Feminax Lancar Haid adalah ramuan herbal alami siap minum yang dikemas dalam kemasan sachet yang praktis dengan rasa yang enak, segar dan sangat bermanfaat dalam membantu melancarkan haid dan meredakan nyeri haid.",1
58,Indikasi Umum,Membantu melancarkan haid dan meredakan nyeri haid.,2
58,Komposisi,"curcumae domesticae rhizoma 6000mg, tamarind pulpae 4000mg, kampferiae galanga rhizoma 500mg, polygalae tenuifoliae radix 3mg.",3
58,Dosis,1-2 sachet per hari. 3 hari sebelum dan 3 hari sesudah haid,4
58,Aturan Pakai,Sebelum atau sesudah makan,5
58,Kemasan,Box @ 12 sachet,6
58,Manufaktur,PT KONIMEX,7
58,No. Registrasi,BPOM: TR226074311,8
59,Product Description,"Nutrinidrink Vanila merupakan makanan diet khusus untuk anak usia 1-12 tahun. Makanan diet khusus berbahan dasar susu sapi yang bergizi dan mengandung Energi (1.5 kkal/ml) untuk membantu memberi pemenuhan energi, yang karena kondisi tertentu tidak dapat dipenuhi dari makanan padat. Karbohidrat, lemak, protein, 12 vitamin dan 10 mineral untuk membantu pertumbuhan anak. Asam linoleat dan asam alpha linolenat sebagai asam lemak esensial. Selain itu, produk ini tidak mengandung laktosa, sehingga dapat digunakan oleh anak yang mengalami intoleransi laktosa. Pemakaian produk ini harus di bawah pengawasan Dokter.",1
59,Indikasi Umum,"Formula Padat Nutrisi untuk anak usia 1-12 berkebutuhan khusus untuk pemenuhan energi, yang karena kondisi tertentu tidak dapat dipenuhi dari makanan padat, sehingga dapat mencapai berat badan ideal.",2
59,Komposisi,"Air, maltodekstrin, sirup glukosa, minyak nabati (minyak kanola, minyak bunga matahari), protein susu (natrium kaseinat), sukrosa, serat pangan (polisakarida kedelai, inulin, oligo fruktosa, pati jagung, gom arab, selulosa), pengemulsi (lesitin kedelai), tri-kalium sitrat, tri-kalsium fosfat, magnesium klorida, perisa identik alami cokelat (mengandung susu), di-kalium hydrogen fosfat, kalsium klorida, koline klorida, karotenoid mengandung kedelai (?karoten, lutein, likopen), natrium L-askorbat, kalium klorida, kalium hidroksida, taurine, besi laktat, seng sulfat, L-karnitin, nikotinamida, DL-a tokoferil asetat, tembaga glukonat, retinil asetat, natrium selenit, mangan sulfat, kolekalsiferol, D-biotin, kalsium D-pantotenat, tiamin hidroklorida, kromium klorida, riboflavin, piridoksin hidroklorida, asam pteroil mono glutamate, kalium iodide, natrium fluoride, natrium molibdat, fitomenadion, sianokobalamin.",3
59,Dosis,"Hanya digunakan sesuai petunjuk dokter atau ahli gizi dan bervariasi sesuai dengan kebutuhan masing-masing individu. Minumlah 3 sajian per hari untuk membantu memenuhi kebutuhan energi anak Anda. Untuk penggunaan lebih dari 3 sajian, konsultasikan terlebih dahulu dengan Dokter atau ahli gizi anak Anda.",4
59,Aturan Pakai,"Hanya digunakan sesuai petunjuk dokter atau ahli gizi dan bervariasi sesuai dengan kebutuhan masing-masing individu. Petunjuk Penyiapan: Cuci tangan Anda dan siapkan serta gunakan peralatan yang bersih. Untuk penyiapan Nutrinidrink, siapkan 150 ml air hangat dalam gelas. Gunakan sendok takar yang terdapat pada kemasan Nutrinidrink saat penyiapan. Tambahkan 10 sendok takar bubuk Nutrinidrink secara bertahap sambil diaduk dan dicampurkan hingga larut dengan sempurna. Habiskan dalam waktu 2 (dua) jam setelah disiapkan. Buang sisa cairan yang tidak habis. Nutrinidrink yang telah disiapkan dan belum dikonsumsi dapat disimpan (dalam gelas atau botol tertutup) di lemari es dan dikonsumsi selama maksimal 24 jam.",5
59,Perhatian,"Produk ini merupakan pangan olahan keperluan medis khusus untuk dukungan nutrisi anak beresiko gagal tumbuh, gizi kurang dan/ atau gizi buruk. Pemakaian produk ini harus di bawah pengawasan Dokter ahli gizi atau praktisi medis.",6
59,Kontra Indikasi,Tidak cocok untuk pasien dengan diet serat dan pasien galaktosemia.,7
59,Kemasan,Can @ 800 Gram,8
59,Manufaktur,"Nutricia Medical Nutrition, Pt",9
59,No. Registrasi,BPOM RI : ML 562409020738,10
60,Product Description,"DAN-GRO Plus 400g merupakan susu pertumbuhan dari Dancow yang diformulasikan dengan Advanced ExcelNutri+, mengandung DHA, zat besi, kalsium, vitamin D, dan protein berkualitas tinggi. Produk ini tidak mengandung sukrosa, menjadikannya pilihan yang baik untuk membantu menambah tinggi dan berat badan anak secara sehat.",1
60,Indikasi Umum,Mendukung pertumbuhan tinggi badan dan berat badan yang optimal dan memenuhi kebutuhan nutrisi harian untuk tumbuh kembang yang sehat.,2
60,Aturan Pakai,"Tuangkan 150 ml air matang hangat (45°C) ke dalam gelas.
Masukkan 4 sendok takar (±36,8 g) DAN-GRO Plus.
Aduk hingga larut dan siap diminum.
Habiskan dalam waktu 1 jam setelah dibuat.",3
60,Kontra Indikasi,Alergi terhadap protein susu sapi.,4
60,Efek Samping,"Gangguan pencernaan seperti diare atau sembelit.
Reaksi alergi pada anak yang sensitif terhadap susu sapi.",5
60,Kemasan,Box @ 400 Gram,6
60,Manufaktur,"Nestle Indonesia, Pt",7
60,No. Registrasi,BPOM RI: MD 273711003900051,8
61,Product Description,Kiranti Sehat Datang Bulan Original merupakan obat herbal terstandar yang digunakan sebagai minuman sehat yang terbuat dari kunyit dan bahan-bahan alami untuk membantu mengatasi keluhan saat haid seperti: nyeri haid dan bau badan tidak sedap serta membantu memperlancar haid dan membantu menyegarkan badan.,1
61,Indikasi Umum,Membantu mengatasi keluhan saat haid seperti: nyeri haid dan bau badan tidak sedap serta membantu memperlancar haid dan membantu menyegarkan badan.,2
61,Komposisi,"Per 100 g Protein 22 g, fat 6.6 g, carbohydrate 58 g, Ca 1,160 mg, Fe 24 mg, folic acid 880 mcg, vit, DHA 67 mg, choline 200 mg. Energy 370 kCal.",3
61,Dosis,"Minum secara rutin 1-2 botol per hari (3 hari sebelum, selama dan 3 hari sesudah haid).",4
61,Aturan Pakai,Kocok dahulu sebelum diminum.,5
61,Perhatian,Tidak dianjurkan untuk ibu hamil.,6
61,Kontra Indikasi,Tidak dianjurkan untuk ibu hamil.,7
61,Efek Samping,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis.",8
61,Kemasan,Botol @ 150 ml,9
61,Manufaktur,Ultra Prima,10
61,No. Registrasi,BPOM: HT142600441,11
62,Product Description,"Adem Sari merupakan minuman penyejuk yang mengandung ekstrak Citrus Aurantifolia dan ekstrak Alyxia stellata. Dilengkapi juga dengan kandungan vitamin C. Digunakan untuk meredakan gejala panas dalam, sakit tenggorokan, sariawan, bibir pecah-pecah dan susah buang air besar.",1
62,Indikasi Umum,"Meredakan gejala panas dalam seperti sariawan, tenggorokan sakit, bibir pecah-pecah dan susah buang air besar. Meningkatkan daya tahan tubuh. Meredakan gejala flu dan bersin-bersin.",2
62,Komposisi,"Ekstrak Citrus Aurantifolia, Ekstrak Alyxia stellata ret. Cortex, Ekstrak Cinamommum burmanni BI cortex dan Vitamin C.",3
62,Dosis,Dewasa: 1 bungkus 2-3x sehari. Anak-anak: 1/2 bungkus 2-3x sehari.,4
62,Aturan Pakai,"1 sachet dicampur dengan air 200 ml, diaduk dan minum segera sampai habis.",5
62,Perhatian,"Penderita phenylketonuria, hamil, penderita dengan fenilalanin tinggi.",6
62,Kemasan,"Dus, 5 Sachet @ 7 Gram",7
62,Manufaktur,Enesis Group,8
62,No. Registrasi,BPOM: SD161248631,9
63,Product Description,Pediasure MRI Rasa Vanila merupakan nutrisi untuk mendukung pertumbuhan nyata dan memenuhi kebutuhan harian si kecil,1
63,Indikasi Umum,Mendukung pertumbuhan nyata dan memenuhi kebutuhan harian si kecil,2
63,Komposisi,"Tinggi Kalsium, (LA & ALA), 12 Vtamin & 8 Mineral, 5g Protein per saji, Zat Besi & Zink, Omega 3 (Asam Alfa Linolenat 133 mg/saji) dan Omega 6 (Asam Linoleat 1303 mg/saji).",3
63,Dosis,Dianjurkan diminum 2-3 gelas sehari.,4
63,Aturan Pakai,Tuang 190 mL air dengan suhu kamar atau dingin ke dalam gelas dan tambahan secara bertahap 4 sendok takar atau 39 g bubuk Pediasure Triplesure.,5
63,Kemasan,Kaleng @ 850 Gram,6
63,Manufaktur,PT Abbott Products Indonesia,7
63,No. Registrasi,BPOM RI : ML 567009053512,8
64,Product Description,Lo Han Kuo Infusion (SSA) merupakan minuman herbal tradisional cina dapat digunakan untuk membantu meredakan panas dalam yang disertai batuk.,1
64,Indikasi Umum,Untuk membantu meredakan gejala panas dalam yang disertai batuk.,2
64,Komposisi,"Lo Han Kuo (Fructus Momordicae) 13.3 g, Cane Sugar 0.7 g.",3
64,Dosis,Digunakan 1-2 kali dalam 1 kotak kecil (14 gram) per hari dalam 100 cc air.,4
64,Aturan Pakai,"Larutkan satu potong Lo Han Kuo dengan 100 ml air hangat (bisa juga air dingin), diaduk sampai larut, kemudian diminum.",5
64,Perhatian,"Simpan ditempat yang kering, sejuk dan terhindar dari sinar matahari langsung. Simpan pada suhu dibawah 30 C.",6
64,Kemasan,Box @ 12 Pcs,7
64,Manufaktur,Saras Subur Abadi,8
64,No. Registrasi,BPOM: TI164450851,9
65,Product Description,"Alba Pastiles merupakan permen rasa mint yang membantu menyegarkan pernapasan dan tenggorokan, menghilangkan bau mulut, serak dan rasa mual.",1
65,Indikasi Umum,"Alba Pastiles merupakan permen rasa mint yang membantu menyegarkan pernapasan dan tenggorokan, menghilangkan bau mulut, serak dan rasa mual.",2
65,Komposisi,Gula dan menthol mint oil.,3
65,Dosis,Dikonsumsi sesuai kebutuhan.,4
65,Kontra Indikasi,Kontraindikasi dari penggunaan Alba Pastiles antara lain Hipersensitif terhadap komponen ini.,5
65,Efek Samping,Reaksi alergi pada orang yang hipersensitif terhadap komponen ini.,6
65,Kemasan,1 Pouch @ 100 Gram,7
65,Manufaktur,P.K.G. Gelora,8
66,Product Description,"Larutan Cap Kaki Tiga Botol merupakan larutan penyegar yang digunakan untuk membantu meredakan panas dalam yang disertai tenggorokan kering, sariawan, dan membantu menyegarkan badan.",1
66,Indikasi Umum,"Membantu meredakan panas dalam yang disertai tenggorokan kering, sariawan, dan membantu menyegarkan badan.",2
66,Komposisi,"Gypsum fibrosum 180mg, calcitum 90mg, air sampai dengan 200ml.",3
66,Dosis,"Untuk pengobatan: Orang dewasa minum 3 kali sehari 100mL sampai 200mL (1/2 sampai 1 botol), anak-anak minum 3 kali sehari 50mL sampai 100ml (1/4 sampai 1/2 botol). Untuk pencegahan: Orang dewasa 1 kali sehari 1 botol, anak-anak 1 kali sehari 1/2 botol.",4
66,Aturan Pakai,Sebelum atau sesudah makan.,5
66,Kemasan,Botol @ 500 ml,6
66,Manufaktur,Kino Group,7
66,No. Registrasi,BPOM: TR042632231,8
67,Product Description,"Nutrinidrink Vanila merupakan makanan diet khusus untuk anak usia 1-12 tahun. Makanan diet khusus berbahan dasar susu sapi yang bergizi dan mengandung Energi (1.5 kkal/ml) untuk membantu memberi pemenuhan energi, yang karena kondisi tertentu tidak dapat dipenuhi dari makanan padat. Karbohidrat, lemak, protein, 12 vitamin dan 10 mineral untuk membantu pertumbuhan anak. Asam linoleat dan asam alpha linolenat sebagai asam lemak esensial. Selain itu, produk ini tidak mengandung laktosa, sehingga dapat digunakan oleh anak yang mengalami intoleransi laktosa. Pemakaian produk ini harus di bawah pengawasan Dokter.",1
67,Indikasi Umum,"Formula Padat Nutrisi untuk anak usia 1-12 berkebutuhan khusus untuk pemenuhan energi, yang karena kondisi tertentu tidak dapat dipenuhi dari makanan padat, sehingga dapat mencapai berat badan ideal.",2
67,Komposisi,"Air, maltodekstrin, sirup glukosa, minyak nabati (minyak kanola, minyak bunga matahari), protein susu (natrium kaseinat), sukrosa, serat pangan (polisakarida kedelai, inulin, oligo fruktosa, pati jagung, gom arab, selulosa), pengemulsi (lesitin kedelai), tri-kalium sitrat, tri-kalsium fosfat, magnesium klorida, perisa identik alami cokelat (mengandung susu), di-kalium hydrogen fosfat, kalsium klorida, koline klorida, karotenoid mengandung kedelai (?karoten, lutein, likopen), natrium L-askorbat, kalium klorida, kalium hidroksida, taurine, besi laktat, seng sulfat, L-karnitin, nikotinamida, DL-a tokoferil asetat, tembaga glukonat, retinil asetat, natrium selenit, mangan sulfat, kolekalsiferol, D-biotin, kalsium D-pantotenat, tiamin hidroklorida, kromium klorida, riboflavin, piridoksin hidroklorida, asam pteroil mono glutamate, kalium iodide, natrium fluoride, natrium molibdat, fitomenadion, sianokobalamin.",3
67,Dosis,"Hanya digunakan sesuai petunjuk dokter atau ahli gizi dan bervariasi sesuai dengan kebutuhan masing-masing individu. Minumlah 3 sajian per hari untuk membantu memenuhi kebutuhan energi anak Anda. Untuk penggunaan lebih dari 3 sajian, konsultasikan terlebih dahulu dengan Dokter atau ahli gizi anak Anda.",4
67,Aturan Pakai,"Hanya digunakan sesuai petunjuk dokter atau ahli gizi dan bervariasi sesuai dengan kebutuhan masing-masing individu. Petunjuk Penyiapan: Cuci tangan Anda dan siapkan serta gunakan peralatan yang bersih. Untuk penyiapan Nutrinidrink, siapkan 150 ml air hangat dalam gelas. Gunakan sendok takar yang terdapat pada kemasan Nutrinidrink saat penyiapan. Tambahkan 10 sendok takar bubuk Nutrinidrink secara bertahap sambil diaduk dan dicampurkan hingga larut dengan sempurna. Habiskan dalam waktu 2 (dua) jam setelah disiapkan. Buang sisa cairan yang tidak habis. Nutrinidrink yang telah disiapkan dan belum dikonsumsi dapat disimpan (dalam gelas atau botol tertutup) di lemari es dan dikonsumsi selama maksimal 24 jam.",5
67,Perhatian,"Produk ini merupakan pangan olahan keperluan medis khusus untuk dukungan nutrisi anak beresiko gagal tumbuh, gizi kurang dan/ atau gizi buruk. Pemakaian produk ini harus di bawah pengawasan Dokter ahli gizi atau praktisi medis.",6
67,Kontra Indikasi,Tidak cocok untuk pasien dengan diet serat dan pasien galaktosemia.,7
67,Kemasan,Can @ 400 Gram,8
67,Manufaktur,"Nutricia Medical Nutrition, Pt",9
67,No. Registrasi,BPOM RI : ML 562409020738,10
68,Product Description,"YOU C-1000 Vitamin Orange adalah minuman suplemen kesehatan dalam bentuk botol yang mengandung 1000 mg vitamin C, dengan rasa jeruk segar. Produk ini dirancang untuk membantu menjaga daya tahan tubuh dan memenuhi kebutuhan harian vitamin C.",1
68,Indikasi Umum,\n- Membantu menjaga daya tahan tubuh.\n- Membantu proses penyembuhan dan regenerasi sel.\n- Antioksidan yang membantu menangkal radikal bebas.\n- Membantu penyerapan zat besi.,2
68,Komposisi,"\nGula, Fruktosa, Sari Buah Kurang Dari 10% Yang Berasal dari Jus Buah Orange Segar, Vitamin (C, B1, E [Dari Kedelai], Niacin), Lemon Flavour, Pengatur Keasaman, Pewarna Kuning Benibana (Safflower) dan Air sampai dengan 140 ml",3
68,Dosis,\nDewasa: 1 botol per hari.,4
68,Aturan Pakai,"\nDikonsumsi sebelum atau sesudah makan. Untuk menghindari rasa perih di lambung, sebaiknya diminum setelah makan.",5
68,Perhatian,"\nSimpan pada suhu di bawah 30 C dan kering, serta terlindung dari cahaya matahari langsung, cahaya lampu dan suhu tinggi.",6
68,Kontra Indikasi,\nHipersensitivitas,7
68,Efek Samping,"\nPemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis.",8
68,Kemasan,\nPack @ Pack - 3 Botol,9
68,Manufaktur,"\nDjojonegoro C - 1000, Pt",10
68,No. Registrasi,\nBPOM RI : SL061600251,11
69,Product Description,Bear Brand merupakan 100% susu sapi murni siap konsumsi yang telah mengalami proses sterilisasi tanpa penambahan bahan pengawet didalamnya. Susu murni yang terkandung di dalamnya dapat membantu menjaga kesehatan tubuh.,1
69,Indikasi Umum,Minuman yang mengandung 100% susu murni untuk membantu menjaga kesehatan tubuh.,2
69,Komposisi,Susu sapi.,3
69,Dosis,Dikonsumsi sesuai kebutuhan.,4
69,Aturan Pakai,"Dapat langsung di minum, dalam keadaan hangat ataupun dingin",5
69,Kemasan,Kaleng @ 189 ml,6
69,Manufaktur,Nestle,7
69,No. Registrasi,BPOM: MD500313001007,8
70,Product Description,"Larutan Cap Kaki Tiga Botol merupakan larutan penyegar yang digunakan untuk membantu meredakan panas dalam yang disertai tenggorokan kering, sariawan, dan membantu menyegarkan badan.",1
70,Indikasi Umum,"\nMembantu meredakan panas dalam yang disertai tenggorokan kering, sariawan, dan membantu menyegarkan badan.",2
70,Komposisi,"\nGypsum fibrosum 180mg, calcitum 90mg, air sampai dengan 200ml.",3
70,Dosis,"\nUntuk pengobatan: Orang dewasa minum 3 kali sehari 100mL sampai 200mL (1/2 sampai 1 botol), anak-anak minum 3 kali sehari 50mL sampai 100ml (1/4 sampai 1/2 botol). Untuk pencegahan: Orang dewasa 1 kali sehari 1 botol, anak-anak 1 kali sehari 1/2 botol.",4
70,Aturan Pakai,\nSebelum atau sesudah makan.,5
70,Kemasan,\nBotol @ 200 ml,6
70,Manufaktur,\nKino Group,7
70,No. Registrasi,\nBPOM: TR042632231,8
71,Product Description,"Permen Pagoda Pastiles Liquorice diformulasikan khusus dengan ekstrak akar manis dan minyak ekaliptus. Dua kandungan ini bekerja langsung untuk meredakan gatal atau kering di tenggorokan, mengurangi rasa tidak nyaman dan suara serak karena batuk, serta mencegah panas dalam dan peradangan di mulut.",1
71,Indikasi Umum,Menyegarkan nafas dan melegakan tenggorokan.,2
